id,group,facility,start,duration,end_time,x,y,utility,DSSR_iterations,execution_time,cum_utility
6326411,home,home2781020,00:00:00,00:05:00,00:05:00,2569512,1192062,-50.34,13,0.081,0.0
6326411,home,home2781020,00:05:00,10:20:00,10:25:00,2569512,1192062,-50.34,13,0.081,0.0
6326411,work,24898,10:40:00,00:10:00,10:50:00,2565248,1192984,-50.34,13,0.081,-12.8
6326411,shop,377155,11:05:00,00:10:00,11:15:00,2577784,1183910,-50.34,13,0.081,-23.0
6326411,education,377679,11:15:00,00:20:00,11:35:00,2577388,1184855,-50.34,13,0.081,-41.7
6326411,home,home2781020,11:40:00,03:35:00,15:15:00,2569512,1192062,-50.34,13,0.081,-41.6
6326411,leisure,377159,15:15:00,00:15:00,15:30:00,2577930,1184036,-50.34,13,0.081,-50.34
6326411,home,home2781020,15:30:00,01:30:00,17:00:00,2569512,1192062,-50.34,13,0.081,-50.34
6326411,home,home2781020,17:00:00,07:00:00,23:59:00,2569512,1192062,-50.34,13,0.081,-50.34
6326415,home,home2781024,00:00:00,00:05:00,00:05:00,2569532,1192199,-33.23,4,0.028,0.0
6326415,home,home2781024,00:05:00,07:55:00,08:00:00,2569532,1192199,-33.23,4,0.028,0.0
6326415,shop,377159,08:00:00,00:15:00,08:15:00,2577930,1184036,-33.23,4,0.028,-10.5
6326415,home,home2781024,08:15:00,01:20:00,09:35:00,2569532,1192199,-33.23,4,0.028,-10.5
6326415,education,377679,09:35:00,00:20:00,09:55:00,2577388,1184855,-33.23,4,0.028,-29.2
6326415,work,148121,11:35:00,00:55:00,12:30:00,2599790,1199243,-33.23,4,0.028,-35.23
6326415,home,home2781024,14:10:00,02:50:00,17:00:00,2569532,1192199,-33.23,4,0.028,-33.23
6326415,home,home2781024,17:00:00,07:00:00,23:59:00,2569532,1192199,-33.23,4,0.028,-33.23
6326427,home,home2781036,00:00:00,00:05:00,00:05:00,2569878,1192664,-7.246,0,0.006,0.0
6326427,home,home2781036,00:05:00,16:45:00,16:50:00,2569878,1192664,-7.246,0,0.006,0.0
6326427,leisure,370107,16:50:00,00:10:00,17:00:00,2575916,1191020,-7.246,0,0.006,-7.246
6326427,home,home2781036,17:00:00,07:00:00,23:59:00,2569878,1192664,-7.246,0,0.006,-7.246
6326435,home,home2781044,00:00:00,00:05:00,00:05:00,2569619,1192221,-19.24,11,0.069,0.0
6326435,home,home2781044,00:05:00,08:15:00,08:20:00,2569619,1192221,-19.24,11,0.069,0.0
6326435,shop,377159,08:20:00,00:15:00,08:35:00,2577930,1184036,-19.24,11,0.069,-10.5
6326435,home,home2781044,08:35:00,02:20:00,10:55:00,2569619,1192221,-19.24,11,0.069,-10.5
6326435,leisure,377155,10:55:00,00:15:00,11:10:00,2577784,1183910,-19.24,11,0.069,-19.24
6326435,home,home2781044,11:10:00,05:50:00,17:00:00,2569619,1192221,-19.24,11,0.069,-19.24
6326435,home,home2781044,17:00:00,07:00:00,23:59:00,2569619,1192221,-19.24,11,0.069,-19.24
