id,group,facility,start,duration,end_time,x,y,deviation_start,deviation_dur,cum_utility,total_deviation_start,total_deviation_dur,utility,DSSR_iterations,execution_time
6337057,home,home2791666,14:50:00,01:00:00,15:50:00,2539523,1153014,01:00:00,01:00:00,-8.74,02:00:00,01:05:00,-19.24,10,0.047
6337057,shop,381504,15:50:00,00:15:00,16:05:00,2536512,1152284,02:00:00,01:00:00,-19.24,02:00:00,01:05:00,-19.24,10,0.047
6337057,home,home2791666,16:05:00,03:55:00,20:00:00,2539523,1153014,02:00:00,01:05:00,-19.24,02:00:00,01:05:00,-19.24,10,0.047
6337057,home,home2791666,20:00:00,04:00:00,23:59:00,2539523,1153014,02:00:00,01:05:00,-19.24,02:00:00,01:05:00,-19.24,10,0.047
6337113,home,home2791722,00:00:00,00:05:00,00:05:00,2539197,1152506,00:00:00,00:00:00,0.0,02:00:00,01:25:00,-17.44,6,0.029
6337113,home,home2791722,00:05:00,08:55:00,09:00:00,2539197,1152506,00:00:00,00:00:00,0.0,02:00:00,01:25:00,-17.44,6,0.029
6337113,shop,381504,09:00:00,00:15:00,09:15:00,2536512,1152284,01:00:00,00:00:00,-10.5,02:00:00,01:25:00,-17.44,6,0.029
6337113,home,home2791722,09:15:00,00:30:00,09:45:00,2539197,1152506,01:00:00,00:45:00,-10.5,02:00:00,01:25:00,-17.44,6,0.029
6337113,leisure,27610,10:30:00,00:15:00,10:45:00,2538796,1151086,02:00:00,00:45:00,-18.34,02:00:00,01:25:00,-17.44,6,0.029
6337113,home,home2791722,11:30:00,08:30:00,20:00:00,2539197,1152506,02:00:00,01:25:00,-17.44,02:00:00,01:25:00,-17.44,6,0.029
6337113,home,home2791722,20:00:00,04:00:00,23:59:00,2539197,1152506,02:00:00,01:25:00,-17.44,02:00:00,01:25:00,-17.44,6,0.029
6337142,home,home2791751,00:00:00,00:05:00,00:05:00,2536265,1152224,00:00:00,00:00:00,0.0,02:00:00,01:00:00,-18.84,2,0.012
6337142,home,home2791751,00:05:00,10:20:00,10:25:00,2536265,1152224,00:00:00,00:00:00,0.0,02:00:00,01:00:00,-18.84,2,0.012
6337142,leisure,27610,10:35:00,01:00:00,11:35:00,2538796,1151086,01:00:00,00:00:00,-8.54,02:00:00,01:00:00,-18.84,2,0.012
6337142,home,home2791751,11:45:00,04:55:00,16:40:00,2536265,1152224,01:00:00,01:00:00,-8.34,02:00:00,01:00:00,-18.84,2,0.012
6337142,shop,381504,16:40:00,00:15:00,16:55:00,2536512,1152284,02:00:00,01:00:00,-18.84,02:00:00,01:00:00,-18.84,2,0.012
6337142,home,home2791751,16:55:00,03:05:00,20:00:00,2536265,1152224,02:00:00,01:00:00,-18.84,02:00:00,01:00:00,-18.84,2,0.012
6337142,home,home2791751,20:00:00,04:00:00,23:59:00,2536265,1152224,02:00:00,01:00:00,-18.84,02:00:00,01:00:00,-18.84,2,0.012
6337161,home,home2791770,00:00:00,00:05:00,00:05:00,2537657,1151678,00:00:00,00:00:00,0.0,02:15:00,00:40:00,-22.87,13,0.059
6337161,home,home2791770,00:05:00,08:00:00,08:05:00,2537657,1151678,00:00:00,00:00:00,0.0,02:15:00,00:40:00,-22.87,13,0.059
6337161,work,619786,09:00:00,01:10:00,10:10:00,2554296,1146277,00:45:00,00:00:00,-6.93,02:15:00,00:40:00,-22.87,13,0.059
6337161,home,home2791770,11:05:00,00:10:00,11:15:00,2537657,1151678,00:45:00,00:10:00,-5.83,02:15:00,00:40:00,-22.87,13,0.059
6337161,shop,136755,12:10:00,00:10:00,12:20:00,2535116,1153253,01:45:00,00:10:00,-15.23,02:15:00,00:40:00,-22.87,13,0.059
