id,home_x,home_y,local,shop_duration,shop_starting,shop_participation,leisure_duration,leisure_starting,leisure_participation,education_duration,education_starting,education_participation,work_duration,work_starting,work_participation,work_x,work_y,work_id
6661905,2568962,1189258,Avenches,6,157,0,24,212,1,47,90,1,59,118,0,2561826,1185420,183967
6326575,2569755,1192168,Avenches,6,157,0,51,217,1,45,124,0,12,109,1,2567968,1192947,49305
6940195,2570855,1191774,Avenches,19,118,1,21,179,0,45,124,0,59,118,0,2561540,1204933,102059
6432781,2569284,1189623,Avenches,6,177,1,21,179,0,45,124,0,59,118,0,2574880,1196387,156395
7072361,2570805,1191660,Avenches,6,157,0,14,149,1,45,124,0,47,101,1,2567880,1191500,134987
7071813,2569962,1192723,Avenches,1,185,1,20,187,1,45,124,0,59,118,0,2570476,1193703,105296
7105780,2569444,1189270,Avenches,6,157,0,24,209,1,53,84,1,59,118,0,2570476,1193703,105296
6681759,2569595,1191749,Avenches,6,157,0,21,179,0,45,124,0,60,79,1,2569138,1192268,356404
7037611,2569815,1192662,Avenches,4,197,1,48,147,1,46,98,1,59,118,0,2561630,1185644,203113
6681650,2569464,1189181,Avenches,6,157,0,21,179,0,45,124,0,59,118,0,2577894,1194748,13025
7046279,2569942,1192624,Avenches,12,211,1,0,185,1,45,124,0,59,118,0,2575324,1201373,131066
6946267,2570010,1192712,Avenches,6,157,0,21,179,0,48,100,1,59,118,0,2578370,1183774,130236
7082578,2570010,1192712,Avenches,6,157,0,158,48,1,45,124,0,59,118,0,2569350,1189507,250785
6459023,2569503,1191818,Avenches,6,157,0,21,179,0,45,124,0,102,66,1,2577822,1184270,178084
6326696,2569616,1192194,Avenches,3,135,1,3,166,1,45,124,0,59,118,0,2570476,1193703,105296
6604901,2569570,1192136,Avenches,6,157,0,21,179,0,45,124,0,59,118,0,2569678,1192164,114551
6682497,2569837,1191698,Avenches,6,157,0,59,173,1,44,100,1,59,118,0,2569734,1192310,382537
6681663,2569503,1192347,Avenches,6,157,0,35,206,1,45,124,0,101,80,1,2567600,1191545,293951
6682710,2569628,1192209,Avenches,6,157,0,21,179,0,45,124,0,59,118,0,2561220,1185426,1755
6927533,2569803,1192186,Avenches,6,157,0,31,237,1,45,124,0,35,56,1,2561338,1204461,350140
6681572,2567968,1192947,Avenches,4,204,1,18,178,1,45,124,0,59,118,0,2569536,1211265,21221
6682542,2569962,1192723,Avenches,7,198,1,21,179,0,45,124,0,60,86,1,2575324,1201373,131066
6458953,2569712,1191966,Avenches,6,157,0,1,147,1,45,124,0,59,118,0,2565700,1194989,552836
6627350,2569285,1189410,Avenches,6,157,0,9,228,1,45,124,0,138,87,1,2556596,1175526,176777
6682788,2569081,1191922,Avenches,6,157,0,21,179,0,45,124,0,49,100,1,2683906,1252118,92908
7022891,2570855,1191774,Avenches,5,219,1,21,179,0,45,124,0,59,118,0,2581168,1189001,99104
6681629,2569476,1192035,Avenches,6,157,0,21,179,0,45,124,0,59,118,0,2570470,1193820,561503
7044024,2569845,1192690,Avenches,6,186,1,21,179,0,45,124,0,110,55,1,2534604,1155609,99107
6682979,2570291,1192937,Avenches,0,142,1,21,179,0,45,124,0,59,118,0,2600210,1197368,318692
6682940,2569349,1191505,Avenches,6,157,0,21,179,0,45,124,0,63,83,1,2561514,1187205,374473
6681725,2570935,1191814,Avenches,6,157,0,16,232,1,45,124,0,137,93,1,2563320,1186670,254836
6681698,2569128,1192011,Avenches,6,157,0,21,179,0,88,89,1,59,118,0,2567250,1191438,32472
6922706,2569987,1192752,Avenches,6,157,0,21,179,0,88,89,1,59,118,0,2567182,1222832,98408
6984074,2569510,1191874,Avenches,6,157,0,21,179,0,45,124,0,50,91,1,2578320,1183784,87635
6682811,2569510,1191874,Avenches,6,198,1,21,179,0,45,124,0,117,61,1,2562354,1186117,163826
6682064,2569967,1191747,Avenches,6,157,0,21,179,0,45,124,0,59,118,0,2577916,1182348,5623
6682665,2569081,1191922,Avenches,6,200,1,21,179,0,45,124,0,117,77,1,2539004,1181275,97122
6326725,2569570,1192136,Avenches,6,157,0,18,246,1,45,124,0,59,118,0,2575828,1183089,152943
6917534,2569300,1192280,Avenches,6,157,0,21,179,0,45,124,0,116,80,1,2571140,1199357,335019
6644506,2569632,1191797,Avenches,6,157,0,21,179,0,45,124,0,59,118,0,2581118,1187751,77945
6681885,2569613,1192052,Avenches,6,157,0,21,179,0,45,124,0,59,118,0,2577916,1182348,5623
6682815,2569610,1191810,Avenches,6,157,0,21,179,0,45,124,0,59,118,0,2568966,1196138,347769
6682224,2569118,1192328,Avenches,6,157,0,21,179,0,45,124,0,2,91,1,2562640,1205300,106308
